TranscriptCluster	Duke	UW
3372337	6.761497047	8.796387934
3765580	7.924123645	8.722303211
3372352	7.391988915	2.79576487
2979111	7.009976937	8.702301997
3372368	11.2686034	11.78606538
2979159	5.114749097	4.399847839
3765642	8.741613608	9.525777222
2585933	10.51883016	10.37943613
3372420	4.373959613	5.056892727
2979187	5.094896872	5.989850489
3765689	9.459808637	10.15218257
2585972	4.623786404	4.093517641
3372459	10.25432594	9.395561982
2979246	2.813903937	8.088459654
2979267	4.690465985	4.263297373
2586038	4.773009935	4.768556642
3765848	5.913398679	7.844530026
2586227	9.464362466	10.16571518
3766013	4.458500124	4.025923555
2586348	11.95656492	12.56722013
3372896	5.06390088	3.641548726
3766153	7.036940098	7.76969241
2979679	7.672098223	8.770750876
2979704	8.750316744	9.798392414
3766269	7.934721415	7.651896007
3766284	6.800902164	8.402902627
3373046	2.48729661	1.094055412
3373070	9.261845172	8.541847783
2586603	9.930738446	10.60103409
3766334	10.75638119	11.29095576
2979871	5.411935472	5.08612136
3373122	4.448208833	3.894588207
3766373	8.438246061	9.775475305
3766415	8.925955668	10.88284426
3766453	5.959744078	5.59327508
3373212	5.847138172	5.236134132
3766467	6.00829247	7.395654087
2586744	8.834027744	9.243185093
3766480	6.313523406	6.182232114
3766499	7.90014528	6.953063428
3766512	8.338550324	3.878559584
3373272	5.100537247	4.924033357
2586798	12.31422918	12.18843843
3373281	6.12554004	3.495287109
3766533	6.04618108	4.881746181
3373296	6.157974409	5.382945022
3766549	4.569758413	5.745565425
2586845	7.904947661	9.577398614
3373339	3.995977167	4.240464443
3373346	4.406475446	3.88124369
3766621	7.849892954	9.551526271
3373383	4.509241049	3.756568242
3373392	3.618917256	2.728006106
3766651	7.453778884	7.541217964
3373411	4.430256666	3.672514353
3373415	4.794630305	3.366535309
3373431	6.838044126	5.858509886
3373453	4.506562274	2.725544131
3373463	5.640707681	5.000925432
2586989	7.666868411	8.673995657
3766716	8.142151742	9.381129045
2980241	10.34732433	10.92045459
3373487	3.421168419	3.399413118
2980258	10.06157033	9.31008559
3373503	5.233357955	4.549883116
3373520	4.755373261	4.557204817
