gene_id	GM12878_rep1	GM12878_rep2
ENSG00000162543.5	0.0199638	0.0325204
ENSG00000228105.1	0	0
ENSG00000158816.11	0.0289544	0.0336203
ENSG00000226664.1	2.04E-12	6.98E-16
ENSG00000236963.1	0.000279509	0.000338829
ENSG00000226487.1	0.0235865	0
ENSG00000162545.5	0.00836876	0.00957433
ENSG00000090432.5	8.35185	10.0195
ENSG00000215520.3	0.0317915	0
ENSG00000183114.6	0	0
ENSG00000158825.5	0.00210138	0.0177006
ENSG00000158828.5	1.4303	0.939634
ENSG00000117242.7	0.99137	1.68264
ENSG00000257033.1	0.000489621	0.325275
ENSG00000244038.5	111.923	133.512
ENSG00000117245.8	0.0964622	0.0481645
ENSG00000235432.1	0	3.85E-06
ENSG00000189410.7	0.594079	0.269669
ENSG00000233069.1	0.0614695	0.0115801
ENSG00000127483.13	73.0586	64.3848
ENSG00000203394.2	4.26E-07	2.41E-38
ENSG00000075151.15	15.5899	14.5692
ENSG00000221808.1	0	0
ENSG00000233072.1	0.0655485	0.477442
ENSG00000236073.2	0	0
ENSG00000266867.1	0	0
ENSG00000251914.1	0	0
ENSG00000235112.1	0.0174017	0.453304
ENSG00000117298.10	9.57174	8.02879
ENSG00000236936.1	0	1.26E-66
ENSG00000231105.1	0.247838	0.240878
ENSG00000236216.4	1.63464	1.04207
ENSG00000228823.1	0.0109415	0
ENSG00000236009.1	0	0.00145986
ENSG00000227001.2	1.12487	0.712789
ENSG00000187952.8	0.717582	0.490176
ENSG00000186543.7	0.0286606	0.00168524
ENSG00000142794.14	1.74432	1.24983
ENSG00000176378.8	0	0.0271597
ENSG00000162551.9	0.0699707	0.0208298
ENSG00000233431.1	0.00395739	0
ENSG00000221781.1	0	0
ENSG00000076864.15	0.979212	0.618956
ENSG00000090686.11	63.548	47.4242
ENSG00000231978.2	0	3.73E-206
ENSG00000187942.7	0.0452362	0.0292061
ENSG00000232037.2	4.06694	1.56755
ENSG00000142798.12	2.8664	2.3469
ENSG00000219073.3	0.00214091	0.00382905
ENSG00000263991.1	0	0
ENSG00000201919.1	0	0
ENSG00000264385.1	0	0.0458352
ENSG00000142789.15	0	0.000963193
ENSG00000263929.1	0	0
ENSG00000201273.1	0	0
